Variables,Lower,Upper,Units,Description
theta1,-1.57,1.57,rad,Angle
theta2,-1.5082516438967812,-0.7416119566203024,rad,Angle
theta3,-1.4654541226940372,-0.2714365005260635,rad,Angle
theta4,-1.4414600836767215,1.4367071743087303,rad,Angle
theta5,-1.4980758065810837,1.2257656148652558,rad,Angle
theta6,-1.275484790468562,0.9101328583723772,rad,Angle
theta7,-1.57,1.57,rad,Angle
theta8,-1.57,-0.7031402988936127,rad,Angle
theta9,-1.57,-0.5355388857971287,rad,Angle
theta10,-1.5399557128486694,0.73313253449672,rad,Angle
theta11,-1.38919962320342,0.8379738091850022,rad,Angle
theta12,-1.4623790468415376,0.8175747932116167,rad,Angle
