Variables,Lower,Upper,Units,Description
theta1,-1.5907038203055488,2.305770375420974,rad,Angle
theta2,-3.0892248013577954,-1.2628788209293942,rad,Angle
theta3,-2.554127060020099,0.6495733058927962,rad,Angle
theta4,-3.074083240151577,-0.24460104744438604,rad,Angle
theta5,-2.900793946428314,3.1412,rad,Angle
theta6,-3.1412,3.1412,rad,Angle
theta7,-1.6961456938736448,2.3282989628488986,rad,Angle
theta8,-3.054780203408138,-1.2830164608027628,rad,Angle
theta9,-2.566820455302698,1.0427990215990817,rad,Angle
theta10,-2.93935116087309,-0.07089676913282528,rad,Angle
theta11,-3.0570506497499648,3.1412,rad,Angle
theta12,-3.1412,3.1412,rad,Angle
