dvvars,Lower,Upper,Units,Description
theta1,-0.901594506201148,0.773929985481067,rad,Angle
theta2,-0.00583028849142844,0.348478477651343,rad,Angle
theta3,-0.118240654001582,0.0172072782822138,rad,Angle
theta4,-0.251589294409677,0.512727887056691,rad,Angle
theta5,0.0453951762560212,0.475913143465249,rad,Angle
theta6,-0.376154730913798,0.416384208708516,rad,Angle
theta7,-0.614999100743768,-0.141815237483753,rad,Angle
theta8,-0.166483615108031,0.196410993841228,rad,Angle
theta9,-0.0157625405403408,0.0651666636901134,rad,Angle
theta10,-0.00484017518414319,0.422959737874463,rad,Angle
theta11,0.116853763128709,0.474081332675853,rad,Angle
theta12,-0.20940506701163,0.211778182000681,rad,Angle
