dir_1,dir_2,dir_3,dir_4,dir_5,dir_6
0,0,0,0,0,1
1,1,0,1,1,1
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,1,1,0
0,1,0,0,0,0
0,0,0,0,1,1
0,0,0,1,0,0
0,0,0,1,1,0
0,1,0,1,0,1
0,1,1,1,0,0
0,0,0,1,0,1
0,0,0,0,1,0
0,1,0,1,0,1
0,0,0,1,1,1
0,0,0,0,1,1
0,1,0,0,1,0
0,1,0,0,0,1
1,1,0,0,1,1
0,1,0,1,0,0
1,1,1,0,1,1
0,1,0,0,1,1
1,1,1,0,1,0
0,0,0,0,0,1
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,0,1,0
1,1,1,1,0,1
0,1,0,0,1,0
0,0,0,0,0,0
0,0,1,1,1,1
0,0,0,0,1,1
0,1,0,0,1,1
0,0,1,1,1,1
0,0,0,0,1,1
0,0,0,1,1,0
0,0,0,1,1,1
0,1,0,0,1,1
0,0,0,0,0,0
1,0,1,0,0,0
0,0,0,0,1,1
0,1,0,1,1,0
0,1,0,0,1,0
0,1,1,1,0,1
0,1,1,0,1,0
0,1,0,0,1,0
0,0,1,0,1,0
0,0,0,0,0,1
0,1,1,0,1,1
0,1,1,1,0,0
0,0,0,1,0,1
0,1,0,0,0,1
0,0,0,1,1,1
0,0,0,1,0,0
0,1,1,0,0,0
0,0,0,0,0,0
1,0,1,1,0,0
0,0,0,0,1,1
1,0,0,1,0,0
0,0,0,0,0,0
