Variables,Lower,Upper,Units,Description
tau_m_n,0.3675541911227475,0.49464733491205176,Nm,nominal torque
tau_m_max,1.1463729776044864,1.4538373252451833,Nm,maximum torque
omega_n,577.0709127766461,1302.70736633553,rad/s,nominal motor velocity
eta_m,0.44324252939346354,0.9487068861325781,-,motor efficiency
P_n,133.3890178179102,182.71921395208102,W,motor power
N,119.80702611516654,171.57193475021816,-,gear ratio
eta_t,0.8662395406705976,0.9960773868613721,-,transmission efficiency
phi_b,4.608187457352175,19.717720460807477,arcmin,gearbox backlash
l1,0.3532798946135645,0.42904574891939357,m,link length 1
l2,0.195148258024714,0.2882657702163094,m,link length 2
