Variables,Lower,Upper,Units,Description
tau_m_n,0.7357670934846887,0.929249320844722,Nm,nominal torque
tau_m_max,3.254539705295912,4.257045212781694,Nm,maximum torque
omega_n,1258.5784043753051,1477.9303316276598,rad/s,nominal motor velocity
eta_m,0.6973484751889099,0.8790975547652623,-,motor efficiency
P_n,82.79689002388754,120.57883758860186,W,motor power
N,80.16160407610622,95.78419689179613,-,gear ratio
eta_t,0.7798269349219196,0.981322036744283,-,transmission efficiency
phi_b,3.4854783046522226,6.805780736995448,arcmin,gearbox backlash
l1,0.3532424808428308,0.4047703142184656,m,link length 1
l2,0.1945863791405527,0.2677212877641894,m,link length 2
kp,226.81268343310515,249.01508589823598,-,proportional gain
kd,22.10993711172096,25.106853119112518,-,derivative gain
