Variables,Lower,Upper,Units,Description
tau_m_n,0.6845074191901948,0.9919044080830423,Nm,nominal torque
tau_m_max,3.322580325856845,4.789530908880365,Nm,maximum torque
omega_n,1003.4189889670216,1471.867761987813,rad/s,nominal motor velocity
eta_m,0.8224547494369118,0.9974523100223626,-,motor efficiency
P_n,105.29046543212871,147.6697757135609,W,motor power
N,156.1261853857186,197.03211325128433,-,gear ratio
eta_t,0.9178727753253094,0.9846147952150627,-,transmission efficiency
phi_b,12.508505327295643,19.72305722040752,arcmin,gearbox backlash
l1,0.43393250811227874,0.518296012702913,m,link length 1
l2,0.11164023334064492,0.16203740154417723,m,link length 2
