Variables,Lower,Upper,Units,Description
tau_m_n,0.7949876279835314,0.9878864517200044,Nm,nominal torque
tau_m_max,2.8502669372208906,3.9827847889270505,Nm,maximum torque
omega_n,1140.6490003013735,1454.772565644412,rad/s,nominal motor velocity
eta_m,0.6250842251124131,0.8813661452459339,-,motor efficiency
P_n,76.57862600677059,120.2155694599094,W,motor power
N,78.05306286005946,105.11214917438762,-,gear ratio
eta_t,0.8142921814807578,1.0,-,transmission efficiency
phi_b,2.32654334757431,6.968259680873714,arcmin,gearbox backlash
l1,0.327549925299927,0.40110397328943853,m,link length 1
l2,0.22042371913822786,0.2927119728306008,m,link length 2
kp,225.24014036663732,249.3460483950449,-,proportional gain
kd,21.643985945270487,24.571478526382062,-,derivative gain
