Variables,Lower,Upper,Units,Description
tau_m_n,0.594165223,0.888431032,Nm,nominal torque
tau_m_max,1.253124115,2.651083376,Nm,maximum torque
omega_n,921.3083284,1329.343492,rad/s,nominal motor velocity
eta_m,0.651182957,0.959642067,-,motor efficiency
P_n,615.5673856,733.6289596,W,motor power
N,131.9411317,176.9259495,-,gear ratio
eta_t,0.765069918,0.979710297,-,transmission efficiency
phi_b,5.94274754,12.24958236,arcmin,gearbox backlash
l1,0.311169262,0.440681056,m,link length
l2,0.247420786,0.370709161,m,link lrngth
kp,125.0243601,163.258736,-,proportional gain
kd,19.43669849,23.83872076,-,derivative gain
