Variables,Lower,Upper,Units,Description
tau_m_n,0.8580089452260734,0.9624792351821205,Nm,nominal torque
tau_m_max,4.159679950641399,4.569269687357831,Nm,maximum torque
omega_n,1415.8267669321979,1493.825363135896,rad/s,nominal motor velocity
eta_m,0.6799236422747114,0.728582443323672,-,motor efficiency
P_n,116.99494633854604,138.78127316092292,W,motor power
N,74.17161591964376,79.62923147972411,-,gear ratio
eta_t,0.9608195397735706,0.9983418829099566,-,transmission efficiency
phi_b,2.9437877053302115,10.635016130830003,arcmin,gearbox backlash
l1,0.23821273898900944,0.2519811653899737,m,link length 1
l2,0.1250773794229592,0.14273387722092526,m,link length 2
kp,243.3531032332125,249.65547093952284,-,proportional gain
kd,22.338817086009772,23.555386414573224,-,derivative gain
