Variables,Lower,Upper,Units,Description
tau_m_n,0.733476392,0.864790114,Nm,nominal torque
tau_m_max,1.703858351,2.260509698,Nm,maximum torque
omega_n,972.4703644,1088.280482,rad/s,nominal motor velocity
eta_m,0.870716116,0.956666164,-,motor efficiency
P_n,623.6884144,684.4825557,W,motor power
N,145.5251255,167.0511522,-,gear ratio
eta_t,0.834509538,0.903353168,-,transmission efficiency
phi_b,6.723767281,9.812406944,arcmin,gearbox backlash
l1,0.415919535,0.471834474,m,link length
l2,0.251672331,0.301130291,m,link lrngth
kp,132.9353157,144.3195872,-,proportional gain
kd,22.11049884,23.32247254,-,derivative gain
