         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    451/1    0.003    0.000    1.606    1.606 {built-in method builtins.exec}
        1    0.001    0.001    1.606    1.606 test_sso.py:1(<module>)
       60    0.006    0.000    1.187    0.020 test_sso.py:463(evaluate_and_trim_box)
       71    0.002    0.000    1.035    0.015 __init__.py:1(<module>)
       60    0.000    0.000    0.965    0.016 test_sso.py:103(get_trimmed_box)
       37    0.016    0.000    0.962    0.026 test_sso.py:192(trim_dv_box_optimized)
    23352    0.041    0.000    0.941    0.000 test_sso.py:169(adjust_box_boundary)
    23426    0.036    0.000    0.507    0.000 test_sso.py:161(calculate_box_quality)
    554/7    0.004    0.000    0.404    0.058 <frozen importlib._bootstrap>:1349(_find_and_load)
    554/7    0.002    0.000    0.404    0.058 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   527/10    0.001    0.000    0.402    0.040 <frozen importlib._bootstrap>:911(_load_unlocked)
    432/8    0.001    0.000    0.402    0.050 <frozen importlib._bootstrap_external>:993(exec_module)
  1272/15    0.001    0.000    0.401    0.027 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    46778    0.218    0.000    0.398    0.000 test_sso.py:118(dvs_in_box)
    23352    0.119    0.000    0.384    0.000 test_sso.py:139(find_closest_viable_point)
        8    0.000    0.000    0.239    0.030 api.py:1(<module>)
   428/50    0.000    0.000    0.183    0.004 {built-in method builtins.__import__}
    46838    0.023    0.000    0.176    0.000 fromnumeric.py:2589(all)
    92344    0.174    0.000    0.174    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    23806    0.161    0.000    0.162    0.000 {built-in method builtins.sum}
  814/460    0.001    0.000    0.155    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    46898    0.036    0.000    0.153    0.000 fromnumeric.py:89(_wrapreduction_any_all)
        3    0.000    0.000    0.123    0.041 generic.py:1(<module>)
    23487    0.043    0.000    0.110    0.000 test_sso.py:57(box_measure_volume)
    44664    0.036    0.000    0.101    0.000 fromnumeric.py:69(_wrapreduction)
      432    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     1125    0.004    0.000    0.079    0.000 frame.py:4062(__getitem__)
       60    0.001    0.000    0.071    0.001 CrashDesign.py:31(E_rem)
    23487    0.013    0.000    0.065    0.000 fromnumeric.py:3328(prod)
  527/518    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.059    0.059 frame.py:1(<module>)
      432    0.015    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
    87/84    0.000    0.000    0.056    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
    87/84    0.052    0.001    0.055    0.001 {built-in method _imp.create_dynamic}
  865/854    0.009    0.000    0.053    0.000 {built-in method builtins.__build_class__}
    87/47    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
    87/47    0.016    0.000    0.052    0.001 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.051    0.026 accessors.py:1(<module>)
        1    0.000    0.000    0.051    0.051 compute.py:1(<module>)
      542    0.001    0.000    0.050    0.000 common.py:62(new_method)
      542    0.001    0.000    0.049    0.000 series.py:6133(_arith_method)
      542    0.003    0.000    0.048    0.000 base.py:1371(_arith_method)
        1    0.000    0.000    0.045    0.045 pyarrow.py:1(<module>)
      432    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
        1    0.001    0.001    0.039    0.039 compute.py:307(_make_global_functions)
      270    0.001    0.000    0.038    0.000 compute.py:291(_wrap_function)
      180    0.001    0.000    0.038    0.000 frame.py:4271(__setitem__)
      180    0.000    0.000    0.036    0.000 frame.py:4514(_set_item)
        1    0.000    0.000    0.035    0.035 __config__.py:1(<module>)
      180    0.001    0.000    0.033    0.000 frame.py:4481(_set_item_mgr)
      542    0.002    0.000    0.032    0.000 series.py:6201(_construct_result)
      550    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      120    0.001    0.000    0.032    0.000 base.py:6186(_get_indexer_strict)
    10696    0.007    0.000    0.031    0.000 fromnumeric.py:3052(max)
    10481    0.006    0.000    0.031    0.000 fromnumeric.py:3190(min)
        1    0.000    0.000    0.030    0.030 _index_tricks_impl.py:1(<module>)
      180    0.002    0.000    0.030    0.000 managers.py:1347(insert)
  558/556    0.004    0.000    0.029    0.000 series.py:389(__init__)
     1497    0.004    0.000    0.027    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.026    0.026 defmatrix.py:1(<module>)
      270    0.003    0.000    0.026    0.000 compute.py:121(_decorate_compute_function)
        1    0.000    0.000    0.025    0.025 _linalg.py:1(<module>)
